project_district,project_type,budget_amount,estimated_cost,actual_cost
10,SCA CIP,4050000,4229193,3791127
10,SCA CIP,252000,489326,485620
10,SCA CIP RESOA,0,1792,1792
10,SCA CIP RESOA,19110,17318,7169
10,SCA CIP RESOA,280280,280280,951
10,SCA CIP RESOA,69238,52551,2423
10,DIIT - RESOA,50000,49625,49625
10,DIIT - RESOA,76250,75677,75677
10,SCA CIP,36881,57074,56288
10,SCA CIP,141246,183396,180358
10,SCA CIP,2085039,2085039,1718
10,SCA CIP,253705,253705,7119
10,DOE- RESOA,435000,435000,0
10,SCA Furniture & Equi,62000,62000,61974
10,Trust For Public Lan,50000,50000,0
10,Trust For Public Lan,150000,150000,0
10,Trust For Public Lan,500000,500000,0
10,Trust For Public Lan,135000,135000,0
10,DIIT - RESOA,50000,49621,49621
10,SCA Capacity,1294751,1294751,161755
10,SCA Capacity,4143204,4143204,47882
10,SCA Capacity,58108434,58108434,9977
10,SCA Capacity,8182828,8182828,30676
10,SCA CIP RESOA,0,0,0
10,SCA CIP RESOA,7500,7500,0
10,SCA CIP RESOA,110000,110000,0
10,SCA CIP RESOA,7500,7500,0
10,SCA CIP,8017,23855,23855
10,SCA CIP,29395,80349,64886
10,SCA CIP,311317,272329,104
10,SCA CIP,72151,36406,20060
10,SCA CIP RESOA,0,0,0
10,SCA CIP RESOA,26880,26880,0
10,SCA CIP RESOA,394240,394240,0
10,SCA CIP RESOA,26880,26880,0
10,SCA CIP RESOA,PNB,0,0
10,SCA CIP RESOA,PNB,0,0
10,SCA CIP RESOA,PNB,0,0
10,SCA CIP RESOA,PNB,0,0
10,DIIT - RESOA,50000,49620,49620
10,SCA CIP,43040,41498,41498
10,SCA CIP,150640,204664,204664
10,SCA CIP,2442520,2294926,1527373
10,SCA CIP,172160,473323,473323
10,SCA CIP,6840,22583,22583
10,SCA CIP,25080,59165,59165
10,SCA CIP,265620,238433,6283
10,SCA CIP,243952,213552,12476
10,SCA CIP RESOA,0,0,0
10,SCA CIP RESOA,51000,51000,0
10,SCA CIP RESOA,748000,748000,0
10,SCA CIP RESOA,51000,51000,0
10,DOE- RESOA,65000,65000,0
10,DOE - Skilled Trades,DOES,161827,161827
10,SCA CIP,758294,219702,219702
10,SCA CIP,3033180,861780,848735
10,SCA CIP,56872126,53590274,50017110
10,SCA CIP,3538709,1715406,1702617
10,SCA CIP,9144,17497,17497
10,SCA CIP,33528,44436,44436
10,SCA CIP,355094,316535,7533
10,SCA CIP,266901,228362,17433
2,SCA CIP RESOA,66000,66000,0
10,SCA CIP RESOA,0,26643,26643
10,SCA CIP RESOA,156000,106569,106569
10,SCA CIP RESOA,2288000,1984152,26852
10,SCA CIP RESOA,156000,39526,39526
10,SCA IEH,IEH,24240,5192
10,SCA IEH,IEH,21800,1894
10,SCA CIP,407835,317409,295273
10,SCA CIP,1631340,1136024,978157
10,SCA CIP,30587626,28356246,16038131
10,SCA CIP,1903230,592325,578567
10,SCA CIP,60456,61373,61373
10,SCA CIP,241822,269123,259555
10,SCA CIP,4534167,4534167,37125
10,SCA CIP,282126,282126,41815
10,SCA CIP,12874,1572,1572
10,SCA CIP,47204,47204,6287
10,SCA CIP,499934,499934,0
10,SCA CIP,170459,170459,457
10,SCA CIP RESOA,0,34470,34470
10,SCA CIP RESOA,13666,191926,0
10,SCA CIP RESOA,200432,3320479,0
10,SCA CIP RESOA,13666,226396,0
10,SCA CIP RESOA,0,5978,0
10,SCA CIP RESOA,12000,6022,0
10,SCA CIP RESOA,176000,176000,0
10,SCA CIP RESOA,12000,12000,0
10,SCA IEH,IEH,46420,7392
10,DOE - Lead Paint,DOEL,800,0
10,DOE- RESOA,84515,84515,84515
10,DOE - Skilled Trades,DOES,170000,606
10,DOE - Skilled Trades,DOES,962300,0
10,PRE-K,229175,168448,168448
10,PRE-K,733360,783855,623316
10,PRE-K,10285374,10060052,9878486
10,PRE-K,1811017,1406947,1339927
10,SCA CIP,134776,41223,41221
10,SCA CIP,539100,120430,116692
10,SCA CIP,10108126,9180781,6970617
10,SCA CIP,636575,518837,449797
10,SCA CIP,20818,24058,24058
10,SCA CIP,83273,102866,96356
10,SCA CIP,1561366,1561366,23938
10,SCA CIP,97152,97152,18765
10,SCA IEH,IEH,66649,6304
10,SCA IEH,IEH,41408,6724
10,DOE- RESOA,50000,50000,0
10,SCA Capacity,1156096,1156096,9609
10,SCA Capacity,3699508,3699508,38434
10,SCA Capacity,51885601,51885601,6917
10,SCA Capacity,7306528,7306528,21037
10,SCA CIP,30000,0,0
10,SCA CIP,110000,110000,0
10,SCA CIP,1165000,1165000,0
10,SCA CIP,270000,270000,116
10,SCA CIP,110940,103978,103978
10,SCA CIP,388290,329925,316570
10,SCA CIP,6295845,6201593,5989027
10,SCA CIP,551018,595580,594538
10,SCA CIP,166366,225758,206813
10,SCA CIP,659453,627318,350802
2,SCA CIP RESOA,4500,4500,0
10,SCA CIP,11825294,10697123,38572
10,SCA CIP,854515,54475,54475
2,DIIT - RESOA,70000,69473,69473
2,DOE - Skilled Trades,DOES,170000,2226
2,SCA CIP,15000,34136,33979
2,SCA CIP,55000,171391,146190
2,SCA CIP,582500,582500,0
2,SCA CIP,135000,135000,3259
2,SCA IEH,IEH,20623,1526
2,SCA CIP RESOA,0,3174,3174
2,SCA CIP RESOA,13360,12760,12760
2,SCA CIP RESOA,195941,127685,3944
2,SCA CIP RESOA,90128,99337,11260
2,DIIT - PBX Telephone,DIIX,164632,164632
2,SCA CIP RESOA,0,0,0
2,SCA CIP RESOA,21000,21000,0
2,SCA CIP RESOA,308000,308000,0
2,SCA CIP RESOA,21000,21000,0
2,SCA IEH,IEH,168513,2797
2,SCA CIP,54315,76056,76056
2,SCA CIP,217260,369930,298058
2,SCA CIP,4073625,3696547,25977
2,SCA CIP,253470,71597,71597
2,SCA CIP RESOA,0,12572,6594
2,SCA CIP RESOA,12000,5581,5581
2,SCA CIP RESOA,176000,176000,188
2,SCA CIP RESOA,12000,12000,4226
2,SCA CIP RESOA,0,0,0
2,SCA CIP RESOA,4500,4500,0
11,SCA CIP,106442,106442,0
2,SCA Furniture & Equi,60000,60000,0
2,DOE - Skilled Trades,DOES,523637,373469
2,SCA IEH,IEH,27716,2170
2,DIIT - Project Conne,DIIT,676994,0
2,SCA IEH,IEH,41340,5478
2,DOE- RESOA,275000,275000,0
2,DOE- RESOA,455577,455577,0
2,DIIT - Project Conne,DIIT,14972,0
2,SCA CIP RESOA,0,0,0
2,SCA CIP RESOA,6000,6000,0
